Sitename:Sedgwick Grass Site
Location: Latitude:   34.6991348 - Longitude: -120.0526886 - Elevation (masl):   367.
Principal investigator: 
Ecosystem type: 
File creation date: 2019-03-28T08:16
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
 2019,0,83.458259999999996,83,1100,0.13620906638471023,3.6228502400716138,130.01843819810284,0.76360431929801764,10.952681749876898,10.952681749876898,0.0000000000000000,-6.5669483012252972,0.0000000000000000,-29.297856714192669,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,98.067813333333334,98.076319709201385,563.85455102730975,1.5261009001911362E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.8955069366128585,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6.0751112591784220E-003
 2019,0,83.479089999999999,83,1130,0.10395961048530564,3.2552151828342630,126.81614531437783,0.83860929425096398,1.9787615648016179,1.9787615648016179,0.0000000000000000,1.6383581908752169,-0.0000000000000000,-1.8437531379533978,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,98.067813333333334,98.042304644097229,567.81634056159646,1.4869860419299131E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.6958095571364096,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.4099507506082866E-003
 2019,0,83.499920000000003,83,1200,0.14889894439781234,2.3422686258952012,132.57864947975526,1.5943791418080546,-5.1343066509772353,-5.1343066509772353,-0.0000000000000000,-17.530352544012239,-0.0000000000000000,6.6348791927777189,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,98.067813333333334,98.011142222222219,536.39145759786948,1.3936616448998962E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.2151078799946635,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.2421906405818185E-002
 2019,0,83.604070000000007,83,1430,0.13500426735582663,1.4109433831109186,124.44217308572439,1.6867833560016061,-6999.0000000000000,3.7057323236987458,-9999.0000000000000,-12.663501583282988,-9999.0000000000000,-8.3775355710149313,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.995237916666667,98.069241569010416,570.59754629939005,2.0276093708541793E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.6722961789408526,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.2034969827481505E-002
 2019,0,83.624899999999997,83,1500,0.20474730255618695,2.4877303229438326,140.24302951641749,1.9501310551040192,-4.1557341051167374,-4.1557341051167374,-0.0000000000000000,-6.5256278222820923,0.0000000000000000,13.922576609518231,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.995237916666667,98.102886953124994,560.88946494581148,2.1898662165745236E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.2037666911748008,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.7772559984735347E-003
 2019,0,83.645730000000000,83,1530,0.16749332271021805,4.8052728610568920,134.18604303087085,1.6202606480483888,-5.9229672057518261,-5.9229672057518261,-0.0000000000000000,12.459301996168126,0.0000000000000000,27.884291631165151,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.995237916666667,98.136395173611106,539.95254238863743,2.5786003104741894E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.4796469851949698,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.1954028091568067E-003
 2019,0,83.666560000000004,83,1600,0.15826576204703391,8.0438650682237949,144.73426356050410,1.0866564972275434,-19.187256572097688,-19.187256572097688,-0.0000000000000000,56.419841124382614,0.0000000000000000,134.68327005008260,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.995237916666667,98.163250468750007,509.50283328530389,3.2236191858987920E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.597871374893614,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.3233447645950813E-002
 2019,0,83.770710000000008,83,1830,0.34921345896532247,16.495698140462252,324.83106670121833,1.2448687625009094,-6999.0000000000000,-18.657327969840480,-9999.0000000000000,197.63564104486866,-9999.0000000000000,219.99198135003383,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,47.910934999999988,98.210133222656253,409.36537497848963,0.97454711464300259,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.1246905515245960,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.0833937244053987E-002
 2019,0,83.791539999999998,83,1900,0.42886018106962148,16.607373080783418,8.9667848573811852,0.32361121120361641,-14.622279348839067,-14.622279348839067,-0.0000000000000000,190.04111041728029,0.0000000000000000,227.36678174117830,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,47.910934999999988,98.213370125868053,409.25353617484421,0.98149359893360111,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.1894276521957234,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.6244282841804508E-003
 2019,0,83.812370000000001,83,1930,0.26913851689343393,17.050311279296920,301.97833988238114,0.13039219999211579,-14.321820374824966,-14.321820374824966,-0.0000000000000000,216.44014931738027,0.0000000000000000,240.96662219369119,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,47.910934999999988,98.203484932725701,408.64022487552012,1.0094751006913121,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.4523613702341169,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.5917683403532760E-002
 2019,0,83.833200000000005,83,2000,0.39037198661253292,17.590732591417122,41.499451341010911,0.39631788250597649,-14.444622524243993,-14.444622524243993,-0.0000000000000000,252.93921699845970,0.0000000000000000,278.27945013326382,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,47.910934999999988,98.185221657986119,408.63601683706958,1.0445602276980548,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.7827051935451372,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.9264655011422828E-003
 2019,0,83.937350000000009,83,2230,0.43731204890505293,19.761671719021308,121.60361519881207,0.58672654614155240,-6999.0000000000000,-16.342613497969836,-9999.0000000000000,206.32622457708351,-9999.0000000000000,258.42889621307285,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,42.252211249999995,98.087730447048614,408.40253019371289,1.3264870531403103,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.8920415909378470,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.7633165732192257E-003
 2019,0,83.958179999999999,83,2300,0.18879608043124851,19.874075385199660,56.903953919193057,0.40874596400165608,-10.676439989598382,-10.676439989598382,-0.0000000000000000,164.28175788310708,0.0000000000000000,202.13512007203641,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,42.252211249999995,98.058899357638893,407.48472704794921,1.3357644077212862,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.9641545953992168,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.7041058904086436E-002
 2019,0,83.979010000000002,83,2330,0.32736030913613567,19.953963572184250,88.871303286211202,0.86053196203343518,-13.436556534933759,-13.436556534933759,-0.0000000000000000,149.76120443073046,0.0000000000000000,174.89316495780335,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,42.252211249999995,98.037852026909718,406.38030779394654,1.3423925362219047,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.015746995895768,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.9760915176794872E-003
 2019,0,84.000000000000000,84,000,0.32968498914025768,19.406797536214242,115.12460258445475,1.7722090245114077,-10.709345187199025,-10.709345187199025,0.0000000000000000,85.782780291726425,-0.0000000000000000,176.68541086402715,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,42.252211249999995,98.036840635850695,406.39132654199432,1.2975661638967744,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.6813920896893055,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.5946741760636879E-003
 2019,0,84.104150000000004,84,230,0.11306446349442621,11.408685472276488,121.80052298093848,1.0946129962618403,-6999.0000000000000,-2.1195329322645504,-9999.0000000000000,1.8734722652018836,-9999.0000000000000,11.696628672109528,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,71.652562083333322,98.030047838541662,426.18127249290728,0.38119523609685951,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.8262923699710054,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.0298864727285389E-003
 2019,0,84.124979999999994,84,300,5.1358572384362790E-002,9.9389761522081130,128.40804382234964,1.5540695973222323,3.8069081964429348,3.8069081964429348,0.0000000000000000,-7.3330633921856601,-0.0000000000000000,0.24598576165869815,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,71.652562083333322,98.040171818576397,437.43613807642254,0.34563926877336260,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.9088253692042070,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.12654673627408022
 2019,0,84.145809999999997,84,330,5.6638582930993830E-002,8.7516347249349451,133.76106309331624,0.92094119747953229,1.0509887236355333,1.0509887236355333,0.0000000000000000,-5.4911194908383161,-0.0000000000000000,-1.1776067773772902,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,71.652562083333322,98.058674982638891,441.30387993651624,0.31908193532278906,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.2227602723260329,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.0652695132612200E-002
 2019,0,84.166640000000001,84,400,5.7383821889356389E-002,7.7240371365017495,129.91117461261072,0.59364104100700998,2.9093761560689990,2.9093761560689990,0.0000000000000000,-6.3472187089251966,-0.0000000000000000,-0.81233318370431673,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,71.652562083333322,98.094339409722224,442.61122141820886,0.29756687746752913,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.6655279732196204,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.8515502173451726E-002
 2019,0,84.270790000000005,84,630,0.11823637878109795,4.5535605027940846,133.13394343894129,1.5978722306415027,-6999.0000000000000,5.0890780718086042,-9999.0000000000000,-18.109948353676703,-9999.0000000000000,-8.9227294255891145,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.949842916666668,98.203998667534719,465.08840879966476,5.1014958286494792E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.0645714231770107,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.5588849196876321E-002
 2019,0,84.291619999999995,84,700,0.10649619469679766,4.1636582099067141,122.84705681813074,1.7207581700233434,9.6702631296280437,9.6702631296280437,0.0000000000000000,-22.620145442741368,-0.0000000000000000,-10.779407128614956,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.949842916666668,98.194730106336806,470.49956589334647,4.9639512109586462E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.8478781604915042,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.3744925839015736E-002
 2019,0,84.312449999999998,84,730,9.4119107283801046E-002,3.6126748657226813,127.28924553853707,1.4480073598473509,6.7638981564870591,6.7638981564870591,0.0000000000000000,-10.930664667683665,-0.0000000000000000,-5.0306843735469409,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.949842916666668,98.171404759114580,477.19035777990337,4.7751736270273452E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.5512194246867805,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.0629972047945216E-002
 2019,0,84.333280000000002,84,800,0.11293287602494989,3.3461834038628808,125.32953560317857,1.9361810153080394,9.9866224903156731,9.9866224903156731,-0.0000000000000000,-17.382479000032582,-0.0000000000000000,-10.582298895826550,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.949842916666668,98.143190839843754,474.70353849662553,4.6861680044157313E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.4126007497824853,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.8202324401152862E-002
 2019,0,84.437430000000006,84,1030,0.15755694049928948,3.0380490960015436,127.32038536428760,1.9406098635873792,-6999.0000000000000,14.373102460717519,-9999.0000000000000,-35.968546937970586,-9999.0000000000000,-19.612667658230780,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.878950416666669,97.977887135416665,468.61500552372217,2.3652741388482810E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.4914466506652957,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.1516100641641576E-002
 2019,0,84.458259999999996,84,1100,0.13353864841625862,2.8727851189507874,120.33081613542159,1.9211701840896669,11.555930232537614,11.555930232537614,0.0000000000000000,-24.812611077874646,-0.0000000000000000,-4.9015758237389884,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.878950416666669,97.943697061631951,470.76413906079870,2.3377190838066896E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.4067571683048019,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.4384859958127208E-002
 2019,0,84.479089999999999,84,1130,0.13610119637347454,2.8119658915202308,119.37234014049459,1.8455494513950494,12.627488714392218,12.627488714392218,-0.0000000000000000,-28.964077502263038,-0.0000000000000000,3.8199519900930965,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.878950416666669,97.918132157118066,455.72469454672193,2.3276501963723377E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3767806756034515,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.6892186527481755E-002
 2019,0,84.499920000000003,84,1200,0.15125999073508564,2.8507245212131238,123.40862937136858,2.0940314379348282,9.3412695674747432,9.3412695674747432,-0.0000000000000000,-26.303032768564798,0.0000000000000000,-28.914431338600959,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.878950416666669,97.906375666232634,439.95758046172767,2.3340624111533998E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3979904797246521,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.7791858285639093E-002
 2019,0,84.604070000000007,84,1430,0.24145151208414406,3.9392787509494838,132.97875560968509,2.1927176341872157,-6999.0000000000000,10.839560633526290,-9999.0000000000000,-35.543007300373688,-9999.0000000000000,-13.332652506181754,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.042928333333322,97.981736063368047,489.47789868974684,3.1958526288546299E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.9143747823310697,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-5.9070263865523649E-003
 2019,0,84.624899999999997,84,1500,0.14047813123530561,4.5937572224935366,126.34232804205439,1.8943390060537728,1.9319513356325468,1.9319513356325468,-0.0000000000000000,-16.311584224813203,0.0000000000000000,-14.994671554749351,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,96.042928333333322,98.017377515190987,478.41155820725521,3.3460035238189106E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.2832031609549084,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.3760381215356837E-002
